date,position,song,artist,album,popularity
2025-05-01,1,Papaoutai,Stromae,racine carrée,
2025-05-01,2,Alors on danse - Radio Edit,Stromae,Cheese,
2025-05-01,3,La Vie en rose,Édith Piaf,Edith Piaf - The Best Of,
2025-05-01,4,Sexy Nana,"Aya Nakamura, La Rvfleuze",Sexy Nana,
2025-05-01,5,Pocahontas,PLK,Grand Garçon,
2025-05-01,6,Pilé,Mauvais djo,L'undertaker Part.1,
2025-05-01,7,Pineapple,Leto,Pineapple,
2025-05-01,8,melodrama,"disiz, Theodora",on s'en rappellera pas,
2025-05-01,9,RENÉ CAOVILLA,Gambi,RENÉ CAOVILLA,
2025-05-01,10,méli-mélo,kulturr,HOPE. : Imani,
2025-05-01,11,ELLE VOULAIT,RnBoi,My Eyes Only - Flashback,
2025-05-01,12,RUINART,R2,7/7 : 24/24,
2025-05-01,13,Maladie,Mauvais djo,Maladie,
2025-05-01,14,À l'aise,"TRIANGLE DES BERMUDES, L2B, MC YOSHI, Mauvais djo, Kokosvoice",404,
2025-05-01,15,B.M.S (by my side),Rambo goyard,B.M.S (by my side),
2025-05-01,16,NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,
2025-05-01,17,LOVE YOU,Nono La Grinta,The cat,
2025-05-01,18,AVEC MOI,"RnBoi, Nono La Grinta",My Eyes Only - Flashback,
2025-05-01,19,ATL,"La Mano 1.9, Gazo, La Rvfleuze",ATL,
2025-05-01,20,SPA,"GIMS, Theodora",SPA,
2025-05-01,21,Parfum quartier,Jul,Parfum quartier,
2025-05-01,22,Billie Jean,Michael Jackson,Thriller,
2025-05-01,23,PARLU,La Rvfleuze,Numéro d'écrou,
2025-05-01,24,Paris,Nono La Grinta,RESTART,
2025-05-01,25,Sex Model,"PLK, Theodora",Grand Garçon,
2025-05-01,26,Jamaican (Bam Bam),"HUGEL, SOLTO (FR)",Jamaican (Bam Bam),
2025-05-01,27,BMW,Black Cat,BMW,
2025-05-01,28,MON BÉBÉ,RnBoi,My Eyes Only - Flashback,
2025-05-01,29,Na Za Désolé,Black Cat,Na Za Désolé,
2025-05-01,30,magique,Willylancien,demain c'est vide,
2025-05-01,31,Babydoll,Dominic Fike,"Don't Forget About Me, Demos",
2025-05-01,32,Balek,"TRIANGLE DES BERMUDES, Aya Nakamura, MC YOSHI, Mauvais djo, Kokosvoice",404,
2025-05-01,33,Tu dors ?,PLK,Grand Garçon,
2025-05-01,34,Génération impolie,"Franglish, KeBlack",Aura X G-wave,
2025-05-01,35,Beat It,Michael Jackson,Thriller,
2025-05-01,36,Miss Kitoko,Theodora,Miss Kitoko,
2025-05-01,37,Argent Sale - A COLORS SHOW,"La Rvfleuze, COLORS",Argent Sale - A COLORS SHOW,
2025-05-01,38,Coco Chanel,"Meryl, Eva",La Dame,
2025-05-01,39,Beauty And A Beat,"Justin Bieber, Nicki Minaj",Believe,
2025-05-01,40,GMK,WIXO & LA2S,GMK,
2025-05-01,41,DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,
2025-05-01,42,C'est la cité,"Jul, Naps",Demain ça ira,
2025-05-01,43,WHERE IS MY HUSBAND!,RAYE,THIS MUSIC MAY CONTAIN HOPE.,
2025-05-01,44,Soleil,GIMS,Soleil,
2025-05-01,45,Chemin d'or,Werenoi,Carré,
2025-05-01,46,ZOU BISOU,"Theodora, Jul",MEGA BBL,
2025-05-01,47,Poney,Werenoi,Diamant Noir,
2025-05-01,48,Arena de Cuba,Bello&Dallas,Arena de Cuba,
2025-05-01,49,Pétunias,Werenoi,Pyramide,
2025-05-01,50,Tour du monde,"Soolking, L2B",Africa Jungle Part.1,
